Year,State/UT,City/Town/Village,S02 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
2021,Andhra Pradesh,Amaravati,14,12,55,28
2021,Andhra Pradesh,Anatapur,7,16,64,30
2021,Andhra Pradesh,Chittor,5,14,46,25
2021,Andhra Pradesh,Eluru,5,17,63,30
2021,Andhra Pradesh,Guntur,5,17,60,29
2021,Andhra Pradesh,Kadapa,5,14,53,26
2021,Andhra Pradesh,Kakinada,8,14,61,28
2021,Andhra Pradesh,Kurnool,6,15,58,26
2021,Andhra Pradesh,Nellore,5,17,55,23
2021,Andhra Pradesh,Ongole,5,17,53,18
2021,Andhra Pradesh,Rajahmundry,8,15,72,33
2021,Andhra Pradesh,Srikakulam,9,20,77,27
2021,Andhra Pradesh,Tirupati,6,22,51,27
2021,Andhra Pradesh,Vijayawada,5,17,65,34
2021,Andhra Pradesh,Visakhapatnam,12,35,103,41
2021,Andhra Pradesh,Vizianagaram,9,19,72,27
2021,Arunachal Pradesh,Naharlagun,27,6,54,15
2021,Assam,Guwahati,26,11,114,60
2021,Assam,Nalbari,6,14,92,42
2021,Assam,Silcher,8,9,46,37
2021,Bihar,Gaya,11,14,79,52
2021,Bihar,Hajipur,5,11,148,60
2021,Bihar,Muzaffarpur,6,13,142,80
2021,Bihar,Patna,8,39,150,73
2021,Chandigarh (UT),Chandigarh,6,24,98,49
2021,Chattisgarh,Bilaspur,8,13,71,28
2021,Chattisgarh,Durg-Bhillainagar,7,11,61,31
2021,Chattisgarh,Raipur,13,22,62,35
2021,Dadara & Nagar Haveli and Daman & Diu (UT),Daman,15,20,84,30
2021,Delhi (UT),Delhi,10,42,207,107
2021,Goa,Amona,7,13,59,27
2021,Goa,Assanora,7,13,58,26
2021,Goa,Bicholim,8,13,61,28
2021,Goa,Codli,7,13,62,28
2021,Goa,Cuncolim,6,13,67,32
2021,Goa,Honda,7,13,61,28
2021,Goa,Kundaim,7,13,62,28
2021,Goa,Mapusa,2,16,57,24
2021,Goa,Margao,7,13,59,27
2021,Goa,Panaji,2,15,73,26
2021,Goa,Ponda,8,13,63,28
