Year,State/UT,City/Town/Village,Sum of S02 Annual Average,Sum of NO2 Annual Average,Sum of PM10 Annual Average,Sum of PM2.5 Annual Average
1/1/2022,Goa,Honda,7,13,58,27
1/1/2022,Goa,Kundaim,7,13,59,28
1/1/2022,Goa,Margao,7,13,57,27
1/1/2022,Goa,Ponda,7,13,59,28
1/1/2022,Goa,Sanguem,7,13,57,27
1/1/2022,Goa,Tilamol,7,13,58,27
1/1/2022,Goa,Tuem,7,13,57,27
1/1/2022,Goa,Usgao Pale,7,13,60,28
1/1/2022,Goa,Vasco,2,15,47,26
1/1/2022,Gujarat,Ahmedabad,22,33,112,41
1/1/2022,Gujarat,Ankleshwar,38,32,114,59
1/1/2022,Gujarat,Gandhinagar,16,13,89,47
1/1/2022,Gujarat,Jamnagar,14,19,109,27
1/1/2022,Gujarat,Nandesari,10,4,55,45
1/1/2022,Gujarat,Rajkot,14,19,108,28
1/1/2022,Gujarat,Surat,19,23,113,49
1/1/2022,Gujarat,Vadodara,14,19,110,28
1/1/2022,Gujarat,Vapi,37,9,119,69
1/1/2022,Gujarat,Vatva,8,42,113,51
1/1/2022,Haryana,Ambala,7,24,136,68
1/1/2022,Haryana,Bahadurgarh,11,26,163,83
1/1/2022,Haryana,Ballabgarh,20,14,156,68
1/1/2022,Haryana,Bhiwani,15,21,117,74
1/1/2022,Haryana,Charkhi Dadri,7,17,157,77
1/1/2022,Haryana,Dharuhera,10,19,216,87
1/1/2022,Haryana,Faridabad,15,20,211,92
1/1/2022,Haryana,Fatehabad,10,22,150,73
1/1/2022,Haryana,Gurgaon,7,24,197,90
1/1/2022,Haryana,Hissar,8,40,153,79
1/1/2022,Haryana,Jind,8,15,132,78
1/1/2022,Haryana,Kaithal,13,14,142,67
1/1/2022,Haryana,Karnal,11,12,113,55
1/1/2022,Haryana,Kurukshetra,11,31,132,74
1/1/2022,Haryana,Mandikhera,13,10,87,28
1/1/2022,Haryana,Manesar,13,21,161,91
1/1/2022,Haryana,Narnaul,5,26,114,55
1/1/2022,Haryana,Palwal,5,14,116,35
1/1/2022,Haryana,Panipat,23,19,167,50
1/1/2022,Haryana,Sirsa,19,28,130,50
1/1/2022,Haryana,Sonepat,12,19,184,46
1/1/2022,Haryana,Yamuna Nagar,11,14,168,76
1/1/2022,Himachal Pradesh,Baddi,16,17,126,46
1/1/2022,Himachal Pradesh,Damtal,2,5,67,33
1/1/2022,Himachal Pradesh,Dharamshala,2,5,47,22
1/1/2022,Himachal Pradesh,Kala Amb,4,12,84,42
1/1/2022,Himachal Pradesh,Manali,2,7,43,14
1/1/2022,Himachal Pradesh,Nalagarh,2,13,80,25
1/1/2022,Himachal Pradesh,Parwanoo,2,5,44,12
1/1/2022,Himachal Pradesh,Poanta Sahib,4,11,101,47
1/1/2022,Himachal Pradesh,Shimla,2,8,44,20
1/1/2022,Himachal Pradesh,Sunder Nagar,2,5,47,22
1/1/2022,Himachal Pradesh,Una,3,8,55,27
1/1/2022,Jammu & Kashmir (UT),Jammu,3,21,171,32
1/1/2022,Jammu & Kashmir (UT),Srinagar (K),22,17,83,27
1/1/2022,Karnataka,Bagalkote,5,9,47,24
1/1/2022,Karnataka,Bangalore,6,19,68,32
1/1/2022,Karnataka,Belgaum,21,19,88,37
1/1/2022,Karnataka,Bijapur / Vijayapura,5,10,50,18
1/1/2022,Karnataka,Chamarajanagar,3,17,40,17
1/1/2022,Karnataka,Chikkaballapur,9,22,67,33
1/1/2022,Karnataka,Chikkamagaluru,5,17,46,20
1/1/2022,Karnataka,Chitradurga,3,6,41,12
1/1/2022,Karnataka,Devanagere,4,16,66,26
1/1/2022,Karnataka,Gadag,15,13,53,28
1/1/2022,Karnataka,Gulbarga / Kalaburgi,17,20,92,38
1/1/2022,Karnataka,Hassan,17,25,68,27
1/1/2022,Karnataka,Haveri,13,8,51,25
1/1/2022,Karnataka,Hubli Dharwad,8,15,72,29
1/1/2022,Karnataka,Kolar,59,13,97,43
1/1/2022,Karnataka,Koppal,20,13,55,23
1/1/2022,Karnataka,Madikeri,16,4,36,19
1/1/2022,Karnataka,Mangalore,8,27,58,22
1/1/2022,Karnataka,Mysore,3,14,47,20
1/1/2022,Karnataka,Raichur,16,24,91,31
1/1/2022,Karnataka,Ramanagara,24,19,58,28
1/1/2022,Karnataka,Shimaga / Shivamogga,5,23,52,23
1/1/2022,Karnataka,Tumkuru,2,14,59,34
1/1/2022,Karnataka,Yadgir,19,12,62,30
1/1/2022,Kerala,Eloor,12,18,62,31
1/1/2022,Kerala,Ernakulam,3,26,34,22
1/1/2022,Kerala,Kannur,2,14,63,36
1/1/2022,Kerala,Kochi,6,17,80,58
1/1/2022,Kerala,Kollam,4,16,72,33
1/1/2022,Kerala,Kozhikode,5,14,59,33
1/1/2022,Kerala,Mallappuram,2,15,31,25
1/1/2022,Kerala,Palakkad,2,5,62,24
1/1/2022,Kerala,Thiruvanantapuram,5,12,43,27
1/1/2022,Kerala,Thrissur,3,18,54,31
1/1/2022,Kerala,Wayanad,2,5,40,22
1/1/2022,Madhya Pradesh,Amlai,11,18,71,33
1/1/2022,Madhya Pradesh,Bhopal,16,22,126,52
1/1/2022,Madhya Pradesh,Chindwara,5,17,78,35
1/1/2022,Madhya Pradesh,Dewas,13,23,102,38
1/1/2022,Madhya Pradesh,Gwalior,20,27,132,64
1/1/2022,Madhya Pradesh,Indore,14,49,111,42
1/1/2022,Madhya Pradesh,Jabalpur,10,30,128,46
1/1/2022,Madhya Pradesh,Katni,17,27,151,58
1/1/2022,Madhya Pradesh,Maihar,9,10,37,17
1/1/2022,Madhya Pradesh,Mandideep,37,38,108,39
1/1/2022,Madhya Pradesh,Nagda,7,5,45,23
1/1/2022,Madhya Pradesh,Pithampur,15,14,106,44
1/1/2022,Madhya Pradesh,Ratlam,12,27,98,40
1/1/2022,Madhya Pradesh,Rewa,6,21,56,25
1/1/2022,Madhya Pradesh,Sagar,8,19,78,34
1/1/2022,Madhya Pradesh,Satna,6,13,62,21
1/1/2022,Madhya Pradesh,Singrauli,27,71,184,72
1/1/2022,Madhya Pradesh,Ujjain,8,16,118,46
1/1/2022,Maharashtra,Aurangabad,15,26,125,58
1/1/2022,Maharashtra,Chandrapur,14,27,123,48
1/1/2022,Maharashtra,Dombivali / Kalyan,21,28,128,54
1/1/2022,Maharashtra,Mumbai,16,29,114,49
1/1/2022,Maharashtra,Nagpur,8,22,85,45
1/1/2022,Maharashtra,Nashik,5,27,61,36
1/1/2022,Maharashtra,Navi Mumbai,21,44,100,50
1/1/2022,Maharashtra,Pune,47,64,110,73
1/1/2022,Maharashtra,Solapur,18,24,74,40
1/1/2022,Maharashtra,Thane,21,42,116,58
1/1/2022,Maharashtra,Vasai virar,22,19,156,40
1/1/2022,Manipur,Imphal,51,8,37,12
1/1/2022,Meghalaya,Byraihat,21,19,152,60
1/1/2022,Meghalaya,Dawki,6,12,39,21
1/1/2022,Meghalaya,Khlihriat,5,10,48,25
1/1/2022,Meghalaya,Nongstoin,5,11,38,21
1/1/2022,Meghalaya,Shillong,11,13,34,20
1/1/2022,Meghalaya,Tura,3,7,36,17
1/1/2022,Meghalaya,Umaim,6,8,96,31
1/1/2022,Mizoram,Aizwal,9,4,42,10
1/1/2022,Mizoram,Champhai,2,5,22,11
1/1/2022,Mizoram,Kolasib,2,5,20,9
1/1/2022,Nagaland,Kohima,41,3,70,27
1/1/2022,Odisha,Angul,10,27,100,36
1/1/2022,Odisha,Balasore,4,11,79,49
1/1/2022,Odisha,Berhampur,5,21,66,29
1/1/2022,Odisha,Bhubaneshwar,2,17,108,38
1/1/2022,Odisha,Bonaigarh,11,14,107,41
1/1/2022,Odisha,Brajrajnagar,24,19,73,34
1/1/2022,Odisha,Cuttack,4,19,103,35
1/1/2022,Odisha,Jharsuguda,9,14,111,55
1/1/2022,Odisha,Kalinga Nagar,6,14,102,59
1/1/2022,Odisha,Paradeep,14,9,91,39
1/1/2022,Odisha,Rajgangpur,11,12,118,29
1/1/2022,Odisha,Rourkela,11,13,110,42
1/1/2022,Odisha,Sambalpur,7,25,102,36
1/1/2022,Odisha,Talcher,24,28,80,39
1/1/2022,Pondicherry (UT),Pondicherry,9,11,51,25
1/1/2022,Punjab,Amritsar,14,37,117,51
1/1/2022,Punjab,Bhatinda,11,21,119,38
1/1/2022,Punjab,Jalandhar,13,23,126,46
1/1/2022,Punjab,Khanna,13,26,114,47
1/1/2022,Punjab,Ludhiana,11,23,172,59
1/1/2022,Punjab,Mandi Gobindgarh,11,23,132,72
1/1/2022,Punjab,Patiala,6,19,105,48
1/1/2022,Punjab,Rupnagar,8,11,119,45
1/1/2022,Rajasthan,Ajmer,18,26,113,51
1/1/2022,Rajasthan,Alwar,13,25,118,41
1/1/2022,Rajasthan,Bhiwadi,18,58,210,94
1/1/2022,Rajasthan,Jaipur,11,39,143,57
1/1/2022,Rajasthan,Jodhpur,11,32,155,69
1/1/2022,Rajasthan,Kota,10,27,126,60
1/1/2022,Rajasthan,Pali,9,21,105,58
1/1/2022,Rajasthan,Udaipur,8,28,130,54
1/1/2022,Sikkim,Gangtok,9,5,44,13
1/1/2022,Tamilnadu,Chengalpattu,49,27,80,41
1/1/2022,Tamilnadu,Chennai,11,16,61,27
1/1/2022,Tamilnadu,Coimbatore,14,16,50,27
1/1/2022,Tamilnadu,Cuddalore,16,18,45,17
1/1/2022,Tamilnadu,Dharmapuri,9,23,44,23
1/1/2022,Tamilnadu,Dindigul,34,45,44,27
1/1/2022,Tamilnadu,Gummidipoondi,8,7,34,20
1/1/2022,Tamilnadu,Hosur,26,12,66,35
1/1/2022,Tamilnadu,Madurai,17,20,67,28
1/1/2022,Tamilnadu,Mettur,9,23,43,21
1/1/2022,Tamilnadu,Nagercoil,8,14,42,12
1/1/2022,Tamilnadu,Ooty,39,10,46,21
1/1/2022,Tamilnadu,Perambalur,10,13,34,14
1/1/2022,Tamilnadu,Ramanathapuram,10,3,46,20
1/1/2022,Tamilnadu,Salem,24,14,48,25
1/1/2022,Tamilnadu,Sivagangai,12,15,42,24
1/1/2022,Tamilnadu,Theni,13,19,54,25
1/1/2022,Tamilnadu,Tirupur,17,19,136,42
1/1/2022,Tamilnadu,Tiruvannamalai,5,14,52,17
1/1/2022,Tamilnadu,Tiruvarur,14,16,41,15
1/1/2022,Tamilnadu,Trichy,11,15,46,20
1/1/2022,Tamilnadu,Tuticorin,6,12,56,17
1/1/2022,Tamilnadu,Vellore,21,6,69,30
1/1/2022,Tamilnadu,Villupuram,14,17,42,16
1/1/2022,Telangana,Hyderabad,7,22,88,39
1/1/2022,Telangana,Karimnagar,6,29,83,40
1/1/2022,Telangana,Nalgonda,11,29,71,30
1/1/2022,Telangana,Nizamabad,7,25,56,30
1/1/2022,Telangana,Patencheru,9,31,83,37
1/1/2022,Telangana,Ramagundum,7,31,83,51
1/1/2022,Telangana,Sangareddy,9,32,88,48
1/1/2022,Tripura,Agartala,31,11,94,53
1/1/2022,Uttar Pradesh,Agra,14,21,129,66
1/1/2022,Uttar Pradesh,Allahabad,25,21,124,45
1/1/2022,Uttar Pradesh,Baghpat,21,36,145,74
1/1/2022,Uttar Pradesh,Bareilly,12,26,124,48
1/1/2022,Uttar Pradesh,Bulandshahr,14,26,183,73
1/1/2022,Uttar Pradesh,Firozabad,14,29,132,51
1/1/2022,Uttar Pradesh,Ghaziabad,16,42,211,87
1/1/2022,Uttar Pradesh,Gorakhpur,30,28,97,38
1/1/2022,Uttar Pradesh,Greater Noida,17,35,219,80
1/1/2022,Uttar Pradesh,Hapur,12,31,164,74
1/1/2022,Uttar Pradesh,Jhansi,15,19,129,47
1/1/2022,Uttar Pradesh,Kanpur,11,33,142,59
1/1/2022,Uttar Pradesh,Khurja,20,24,156,62
1/1/2022,Uttar Pradesh,Lucknow,10,31,148,63
1/1/2022,Uttar Pradesh,Meerut,15,41,168,78
1/1/2022,Uttar Pradesh,Moradabad,15,16,124,53
1/1/2022,Uttar Pradesh,Muzaffarnagar,15,23,180,93
1/1/2022,Uttar Pradesh,Noida,17,40,210,80
1/1/2022,Uttar Pradesh,Varanasi,20,28,103,38
1/1/2022,Uttar Pradesh,Vrindavan,32,12,104,41
1/1/2022,Uttarakhand,Dehradun,11,14,118,59
1/1/2022,Uttarakhand,Haldwani,8,25,114,31
1/1/2022,Uttarakhand,Kashipur,16,20,123,60
1/1/2022,Uttarakhand,Rishikesh,18,23,136,72
1/1/2022,West Bengal,Asansol+Raniganj,11,35,135,60
1/1/2022,West Bengal,Barrckpore,4,24,86,55
1/1/2022,West Bengal,Darjeeling,8,31,64,32
1/1/2022,West Bengal,Durgapur,20,26,156,62
1/1/2022,West Bengal,Haldia,14,25,94,36
1/1/2022,West Bengal,Howrah,14,25,131,65
1/1/2022,West Bengal,Kalyani,3,23,84,47
1/1/2022,West Bengal,Kolkata,8,34,101,44
1/1/2022,West Bengal,Siliguri,9,37,111,42
2019,Andhra Pradesh,Anantapur,6,18,85,41
2019,Andhra Pradesh,Chitoor,5,37,58,24
2019,Andhra Pradesh,Eluru,5,19,69,22
2019,Andhra Pradesh,Guntur,5,19,62,29
2019,Andhra Pradesh,Kadapa,6,16,60,30
2019,Andhra Pradesh,Kakinada,8,18,63,30
2019,Andhra Pradesh,Kurnool,5,14,59,25
2019,Andhra Pradesh,Nellore,5,19,68,33
2019,Andhra Pradesh,Ongole,5,19,62,25
2019,Andhra Pradesh,Srikakulam,8,18,72,36
2019,Andhra Pradesh,Vijaywada,5,19,73,25
2019,Andhra Pradesh,Vishakhapatnam,9,21,86,36
2019,Andhra Pradesh,Vizianagaram,8,19,74,35
2019,Assam,Guwahati,12,15,122,27
2019,Bihar,Begusarai,12,22,117,55
2019,Bihar,Muzaffarpur,14,31,152,101
2019,Chandigarh,Chandigarh,2,24,114,74
2019,Chattisgarh,Bilaspur,6,12,47,27
2019,Chattisgarh,Korba,8,19,58,30
2019,Dadra & Nagar Haveli and Daman & Diu,Daman,23,26,99,38
2019,Dadra & Nagar Haveli and Daman & Diu,Silvassa,26,28,108,39
2019,Delhi,Delhi,3,92,154,108
2019,Goa,Amona,11,14,72,38
2019,Goa,Assanora,11,14,57,30
2019,Goa,Bicholim,11,14,63,31
2019,Goa,Codli,10,14,60,32
2019,Goa,Cuncolim,11,14,80,38
2019,Goa,Honda,11,14,63,32
2019,Goa,Kundaim,11,14,62,31
2019,Goa,Margao,11,14,59,30
2019,Goa,Panaji,3,13,87,50
2019,Goa,Ponda,11,14,66,33
2019,Goa,Sanguem,11,14,57,29
2019,Goa,Tilamol,11,14,67,35
2019,Goa,Tuem,11,14,57,29
2019,Goa,Usgao,11,14,64,33
2019,Goa,Vasco,3,13,81,41
2019,Gujarat,Ahmedabad,19,25,132,38
2019,Gujarat,Anklesvar,20,26,119,37
2019,Gujarat,Jamnagar,19,25,123,34
2019,Gujarat,Rajkot,21,26,128,35
2019,Gujarat,Surat,23,26,100,33
2019,Gujarat,Vadodara,19,25,107,34
2019,Gujarat,Vapi,21,26,131,45
2019,Himachal Pradesh,Damtal,2,9,47,19
2019,Himachal Pradesh,Dharamshala,2,6,35,14
2019,Himachal Pradesh,Kala Amb,3,15,121,85
2019,Himachal Pradesh,Manali,2,11,79,27
2019,Himachal Pradesh,Paonta Sahib,3,13,79,39
2019,Himachal Pradesh,Parwanoo,2,6,61,18
2019,Himachal Pradesh,Shimla,2,26,59,26
2019,Himachal Pradesh,Sunder Nagar,2,8,69,30
2019,Karnataka,Bagalkote,2,17,45,29
2019,Karnataka,Bangalore,2,27,91,32
2019,Karnataka,Belgaum,2,16,87,38
2019,Karnataka,Bidar,2,9,71,39
2019,Karnataka,Devanagere,6,8,52,16
2019,Karnataka,Gulburga,3,13,87,46
2019,Karnataka,Hassan,3,20,37,25
2019,Karnataka,Hubli-Dharwad,4,17,62,20
2019,Karnataka,Kolar,2,27,109,28
2019,Karnataka,Mysore,2,15,52,26
2019,Karnataka,Raichur,2,11,74,14
2019,Karnataka,Shimaga,24,6,33,12
2019,Kerala,Kochi,3,19,49,32
2019,Kerala,Kozhikode,2,5,44,13
2019,Madhya Pradesh,Chhindwara,3,14,73,34
2019,Madhya Pradesh,Dewas,19,26,80,47
2019,Madhya Pradesh,Gwalior,12,23,135,57
2019,Madhya Pradesh,Indore,9,18,81,39
2019,Madhya Pradesh,Nagda,14,12,45,30
2019,Madhya Pradesh,Prithampur,10,18,85,32
2019,Madhya Pradesh,Sagar,4,14,75,19
2019,Madhya Pradesh,Singrauli,31,49,189,68
2019,Maharashtra,Mumbai,2,27,118,40
2019,Maharashtra,Nagpur,13,39,103,39
2019,Meghalaya,Byrnihat,15,13,103,7
2019,Meghalaya,Dawki,7,13,53,7
2019,Meghalaya,Khliehriat,3,11,43,7
2019,Meghalaya,Nongstoin,2,13,30,7
2019,Meghalaya,Shillong,2,7,30,9
2019,Meghalaya,Tura,3,12,31,7
2019,Odisha,Angul,11,27,107,55
2019,Odisha,Balasore,2,11,85,45
2019,Odisha,Berhampur,4,19,65,26
2019,Odisha,Bhubneshwar,2,19,108,30
2019,Odisha,Bonaigarh,9,16,118,51
2019,Odisha,Cuttack,5,19,108,40
2019,Odisha,Jharsuguda,7,13,106,51
2019,Odisha,Paradeep,18,11,146,55
2019,Odisha,Rajgangpur,12,19,150,58
2019,Odisha,Rayagada,4,17,63,32
2019,Odisha,Rourkela,8,14,87,37
2019,Odisha,Sambalpur,6,24,92,48
2019,Odisha,Talcher,10,28,119,49
2019,Tamilnadu,Chennai,15,18,63,36
2019,Tamilnadu,Coimbatore,6,16,41,28
2019,Tamilnadu,Cuddalore,13,18,52,32
2019,Tamilnadu,Trichy,13,18,79,57
2019,Tamilnadu,Tuticorin,10,11,83,22
2019,Telangana,Adilabad,5,25,74,45
2019,Telangana,Hyderabad,6,51,148,35
2019,Telangana,Khammam,9,53,95,45
2019,Telangana,Nizamabad,5,25,63,41
2019,Telangana,Patencheru,5,25,83,41
2019,Telangana,Sangareddy,8,39,104,45
2019,Tripura,Agartala,4,10,48,24
2019,Uttar Pradesh,Agra,4,21,192,102
2019,Uttar Pradesh,Baghpat,11,21,168,91
2019,Uttar Pradesh,Ghaziabad,15,46,231,102
2019,Uttar Pradesh,Greater Noida,12,26,189,94
2019,Uttar Pradesh,Hapur,13,23,208,114
2019,Uttar Pradesh,Kanpur,8,48,210,66
2019,Uttar Pradesh,Muzaffarnagar,8,33,194,86
2019,Uttar Pradesh,Noida,14,61,235,117
2019,West Bengal,Asansol,15,43,182,81
2019,West Bengal,Barrackpore,8,27,112,66
2019,West Bengal,Darjeeling,5,30,57,24
2019,West Bengal,Durgapur,15,44,183,73
2019,West Bengal,Haldia,9,39,89,35
2019,West Bengal,Howrah,13,42,254,73
2019,West Bengal,Kalyani,7,26,113,60
2019,West Bengal,Kolkata,7,38,89,62
2019,West Bengal,Siliguri,6,33,80,32
