Year,State/UT,City/Town/Village,S02 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
2019,Andhra Pradesh,Anantapur,6,18,85,41
2019,Andhra Pradesh,Chitoor,5,37,58,24
2019,Andhra Pradesh,Eluru,5,19,69,22
2019,Andhra Pradesh,Guntur,5,19,62,29
2019,Andhra Pradesh,Kadapa,6,16,60,30
2019,Andhra Pradesh,Kakinada,8,18,63,30
2019,Andhra Pradesh,Kurnool,5,14,59,25
2019,Andhra Pradesh,Nellore,5,19,68,33
2019,Andhra Pradesh,Ongole,5,19,62,25
2019,Andhra Pradesh,"Rajahmundry/
Rajamahendravaram",,,,34
2019,Andhra Pradesh,Srikakulam,8,18,72,36
2019,Andhra Pradesh,Tirupati,5,14,43,
2019,Andhra Pradesh,Vijaywada,5,19,73,25
2019,Andhra Pradesh,Vishakhapatnam,9,21,86,36
2019,Andhra Pradesh,Vizianagaram,8,19,74,35
2019,Assam,Guwahati,12,15,122,27
2019,Bihar,Begusarai,12,22,117,55
2019,Bihar,Muzaffarpur,14,31,152,101
2019,Chandigarh,Chandigarh,2,24,114,74
2019,Chattisgarh,Bilaspur,6,12,47,27
2019,Chattisgarh,Durg-Bhillainagar,7,,78,39
2019,Chattisgarh,Korba,8,19,58,30
2019,Chattisgarh,Raigarh,,,55,20
2019,Dadra & Nagar Haveli and Daman & Diu,"Baldevi (Dadra &
Nagar Haveli)",16,,65,25
2019,Dadra & Nagar Haveli and Daman & Diu,Daman,23,26,99,38
2019,Dadra & Nagar Haveli and Daman & Diu,Patlara (Daman),15,,63,23
2019,Dadra & Nagar Haveli and Daman & Diu,Silvassa,26,28,108,39
2019,Delhi,Delhi,3,92,154,108
2019,Goa,Amona,11,14,72,38
2019,Goa,Assanora,11,14,57,30
2019,Goa,Bicholim,11,14,63,31
2019,Goa,Codli,10,14,60,32
2019,Goa,Cuncolim,11,14,80,38
2019,Goa,Honda,11,14,63,32
2019,Goa,Kundaim,11,14,62,31
2019,Goa,Margao,11,14,59,30
2019,Goa,Panaji,3,13,87,50
2019,Goa,Ponda,11,14,66,33
2019,Goa,Sanguem,11,14,57,29
2019,Goa,Tilamol,11,14,67,35
2019,Goa,Tuem,11,14,57,29
2019,Goa,Usgao,11,14,64,33
2019,Goa,Vasco,3,13,81,41
2019,Gujarat,Ahmedabad,19,25,132,38
2019,Gujarat,Anklesvar,20,26,119,37
2019,Gujarat,Jamnagar,19,25,123,34
2019,Gujarat,Rajkot,21,26,128,35
2019,Gujarat,Surat,23,26,100,33
2019,Gujarat,Vadodara,19,25,107,34
2019,Gujarat,Vapi,21,26,131,45
2019,Himachal Pradesh,Damtal,2,9,47,19
2019,Himachal Pradesh,Dharamshala,2,6,35,14
2019,Himachal Pradesh,Kala Amb,3,15,121,85
2019,Himachal Pradesh,Manali,2,11,79,27
2019,Himachal Pradesh,Paonta Sahib,3,13,79,39
2019,Himachal Pradesh,Parwanoo,2,6,61,18
2019,Himachal Pradesh,Shimla,2,26,59,26
2019,Himachal Pradesh,Sunder Nagar,2,8,69,30
2019,Jammu & Kashmir,Jammu,3,17,140,
2019,Karnataka,Bagalkote,2,17,45,29
2019,Karnataka,Bangalore,2,27,91,32
2019,Karnataka,Belgaum,2,16,87,38
2019,Karnataka,Bidar,2,9,71,39
